loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4821,19.11660385131836,4.960526315789474e-05,1.0,380,,,,,,,,,,,,,
,,,1.0,380,0.30913016200065613,0.9222222222222223,0.9224290754701626,0.9243370181053292,0.9222222222222223,11.3029,238.877,3.804,,,,,
0.6674,11.495716094970703,4.4488304093567254e-05,2.0,760,,,,,,,,,,,,,
,,,2.0,760,0.11899568885564804,0.965925925925926,0.9657611339152338,0.966463168619683,0.965925925925926,11.6562,231.636,3.689,,,,,
0.5819,14.033141136169434,3.89327485380117e-05,3.0,1140,,,,,,,,,,,,,
,,,3.0,1140,0.08777494728565216,0.9733333333333334,0.9733339048208897,0.973856993082421,0.9733333333333334,11.9871,225.243,3.587,,,,,
0.5609,12.777070999145508,3.337719298245614e-05,4.0,1520,,,,,,,,,,,,,
,,,4.0,1520,0.08555594831705093,0.9729629629629629,0.9727674642982967,0.9734080706542555,0.9729629629629629,11.9649,225.659,3.594,,,,,
0.5342,18.593273162841797,2.7821637426900586e-05,5.0,1900,,,,,,,,,,,,,
,,,5.0,1900,0.06450983881950378,0.9796296296296296,0.9796473117604634,0.9798254941386951,0.9796296296296296,11.857,227.714,3.627,,,,,
0.5268,0.6505226492881775,2.226608187134503e-05,6.0,2280,,,,,,,,,,,,,
,,,6.0,2280,0.06273684650659561,0.9785185185185186,0.9784718328030646,0.9789363814896276,0.9785185185185186,11.9054,226.788,3.612,,,,,
0.506,1.8985905647277832,1.6710526315789475e-05,7.0,2660,,,,,,,,,,,,,
,,,7.0,2660,0.0836128294467926,0.9737037037037037,0.9735203776472541,0.9742565535792885,0.9737037037037037,11.9289,226.341,3.605,,,,,
,,,7.0,2660,,,,,,,,,1583.5234,153.455,2.4,3.013634744838144e+18,0.6941928892207325
